Wavelength,NEUT500,DBG6008,BYY8512,ABB6002,DPB4012,BRP6012
639,0.21385371,0.14367276,0.82711385,0.252671,0.14561274,0.8477625
640,0.2138661,0.14361486,0.82957149,0.25180431,0.14886825,0.84954362
641,0.21360178,0.14393736,0.82554734,0.25133628,0.15184977,0.84952146
642,0.2132542,0.14316216,0.82852225,0.25193809,0.15545096,0.85127617
643,0.2133043,0.14336335,0.8276638,0.25132426,0.15827896,0.85049125
644,0.21313557,0.14343008,0.82751707,0.25031437,0.16178941,0.85192623
645,0.21265291,0.14288818,0.82787969,0.25063629,0.16525758,0.85268043
646,0.2122751,0.14318472,0.82639644,0.25015492,0.16812402,0.85425427
647,0.21151048,0.14289999,0.82994992,0.25028493,0.17306383,0.85325699
648,0.2118448,0.14391447,0.83095989,0.24962193,0.17765714,0.85550099
649,0.21090497,0.14358543,0.82842361,0.24930841,0.18197934,0.85122224
650,0.21164621,0.14260633,0.82747978,0.24850934,0.1868289,0.85531313
651,0.2113485,0.14358211,0.82849386,0.24870523,0.19128172,0.85343488
652,0.21059911,0.1438182,0.83121507,0.24838094,0.19657318,0.85657112
653,0.21164311,0.14394634,0.82957577,0.24962587,0.20126158,0.85961169
654,0.21111365,0.1440735,0.830059,0.24858997,0.20592058,0.85894331
655,0.21029745,0.14482386,0.83034491,0.24750097,0.21170399,0.85687837
656,0.21043512,0.14531431,0.82765287,0.24772268,0.21677141,0.85765948
657,0.21006938,0.14510293,0.82785175,0.24809021,0.22146638,0.85767127
658,0.20981415,0.14511625,0.82507082,0.24854003,0.22636848,0.85881683
659,0.21021352,0.14573017,0.82846385,0.24823544,0.23152723,0.85631265
660,0.20989672,0.14529147,0.82647917,0.24765948,0.23745471,0.86055192
661,0.20825402,0.14668812,0.82681452,0.24816246,0.24276503,0.85927574
662,0.20923668,0.14729439,0.82674099,0.24828145,0.24790541,0.85762972
663,0.20915225,0.1475963,0.82939491,0.24879323,0.25294777,0.85883922
664,0.20929047,0.1480022,0.82780542,0.24860274,0.25768666,0.86113152
665,0.2086912,0.14757539,0.82833503,0.24870839,0.26345146,0.86172114
