Wavelength,X,Y,Z
643,0.22134101999127073,0.08540679525299442,0.000007964247483494097
644,0.21174427003241,0.08139567492005746,0.0000068051297830213685
645,0.20235918958061058,0.07751119733935803,0.000005608624988376125
646,0.19319262115835828,0.07375358685589568,0.00000433733647072337
647,0.18425275335813618,0.07012172174467272,0.000003028657493723107
648,0.17556073069615039,0.06661879892193254,0.0000017947599962803598
649,0.16713764160235725,0.0632479592176686,7.478164781626504e-7
650,0.15900451842046312,0.060012287375624536,0
651,0.15117757007668448,0.05691419510454533,0
652,0.14364720582229118,0.053948600990191525,0
653,0.13639592674731946,0.05110745104707981,0
